epoch,batch,loss,time_per_10_steps
3,130,0.2402,1.0251
3,140,0.2090,1.0330
3,150,0.2417,1.1150
3,160,0.2088,2.1584
3,170,0.2095,1.5795
3,180,0.2411,1.0417
3,190,0.2276,1.0368
3,200,0.2591,1.0424
3,210,0.2070,1.0368
3,220,0.2442,1.0356
3,230,0.2696,1.0310
3,240,0.2261,1.0574
3,250,0.2202,1.0329
3,260,0.2119,1.0316
3,270,0.2187,1.9842
3,280,0.2728,1.7452
3,290,0.2399,1.0513
3,300,0.1488,1.0568
3,310,0.2254,1.0439
3,320,0.2154,1.0486
3,330,0.2393,1.0298
3,340,0.1738,1.0348
3,350,0.2212,1.0313
3,360,0.2432,1.0256
3,370,0.2386,1.0306
3,380,0.2369,1.8175
3,390,0.1665,1.8668
3,400,0.1839,1.0519
3,410,0.2219,1.0600
3,420,0.2334,1.0282
3,430,0.2861,1.0245
3,440,0.2863,1.0204
3,450,0.2060,1.0268
3,460,0.2542,1.0372
3,470,0.2389,1.0331
3,480,0.2301,1.0363
3,490,0.2488,1.6925
3,500,0.1766,2.0240
3,510,0.1872,1.0192
3,520,0.1973,1.0322
3,530,0.2141,1.0255
3,540,0.2573,1.0273
3,550,0.2967,1.0250
3,560,0.2667,1.0289
3,570,0.2326,1.0174
3,580,0.1545,1.0432
3,590,0.1744,1.0328
3,600,0.2120,1.3259
3,610,0.2186,2.1482
3,620,0.1901,1.2498
3,630,0.2383,1.0210
3,640,0.2526,1.0265
3,650,0.1956,1.0269
3,660,0.2267,1.0433
3,670,0.2403,1.0555
3,680,0.2353,1.0555
3,690,0.1764,1.0247
3,700,0.1843,1.0384
3,710,0.2047,1.1366
3,720,0.2180,2.1060
3,730,0.1763,1.4742
3,740,0.1725,1.0312
3,750,0.1810,1.0238
3,760,0.1806,1.0256
3,770,0.2200,1.0348
3,780,0.2189,1.0243
3,790,0.2083,1.0355
3,800,0.1927,1.0345
3,810,0.2308,1.0307
3,820,0.2354,1.0257
3,830,0.1948,1.9824
3,840,0.2026,1.7342
3,850,0.2204,1.0494
3,860,0.2172,1.0353
3,870,0.2024,1.0544
3,880,0.2338,1.0317
3,890,0.2787,1.0392
3,900,0.2454,1.0417
3,910,0.2055,1.0275
3,920,0.1538,1.0517
3,930,0.2343,1.0324
4,10,0.2100,1.1790
4,20,0.1769,1.0283
4,30,0.1634,1.0291
4,40,0.2073,1.0433
4,50,0.2344,1.0379
4,60,0.1640,1.0584
4,70,0.2115,1.8700
4,80,0.2021,1.8118
4,90,0.1654,1.0390
4,100,0.1666,1.0434
4,110,0.1527,1.0374
4,120,0.1944,1.0299
4,130,0.2241,1.0377
4,140,0.1755,1.0528
4,150,0.2259,1.0421
4,160,0.1942,1.0356
4,170,0.1870,1.0213
4,180,0.2242,1.6728
4,190,0.1951,2.0466
4,200,0.2436,1.1399
4,210,0.1727,1.0371
4,220,0.2623,1.0506
4,230,0.1957,1.0303
4,240,0.2048,1.0324
4,250,0.2005,1.0353
4,260,0.1555,1.0420
4,270,0.2235,1.0786
