epoch,batch,loss
4,320,0.2963
4,330,0.2857
4,340,0.3741
4,350,0.3402
4,360,0.3197
4,370,0.2942
4,380,0.2908
4,390,0.3156
4,400,0.2721
4,410,0.2593
4,420,0.3123
4,430,0.3119
4,440,0.3005
4,450,0.2756
4,460,0.3129
4,470,0.2903
4,480,0.2739
4,490,0.3303
4,500,0.3675
4,510,0.3408
4,520,0.3312
4,530,0.3119
4,540,0.2923
4,550,0.3033
4,560,0.2870
4,570,0.2706
4,580,0.2939
4,590,0.3092
4,600,0.2936
4,610,0.2655
4,620,0.2577
4,630,0.2968
4,640,0.3345
4,650,0.3049
4,660,0.3966
4,670,0.3449
4,680,0.2441
4,690,0.2723
4,700,0.2970
4,710,0.2978
4,720,0.3710
4,730,0.2977
4,740,0.3048
4,750,0.2770
4,760,0.2400
4,770,0.2908
4,780,0.3055
4,790,0.3171
4,800,0.2925
4,810,0.2707
4,820,0.2956
4,830,0.3844
4,840,0.3016
4,850,0.2311
4,860,0.2474
4,870,0.2757
4,880,0.2887
4,890,0.3034
4,900,0.3258
4,910,0.3252
4,920,0.2811
4,930,0.2910
5,10,0.3161
5,20,0.3214
5,30,0.3006
5,40,0.3068
5,50,0.2455
5,60,0.2832
5,70,0.2351
5,80,0.2974
5,90,0.2646
5,100,0.3311
5,110,0.2646
5,120,0.2886
5,130,0.2583
5,140,0.2049
5,150,0.2842
5,160,0.2888
5,170,0.2892
5,180,0.3233
5,190,0.3112
5,200,0.2689
5,210,0.2381
5,220,0.2930
5,230,0.2661
5,240,0.2208
5,250,0.2796
5,260,0.3080
5,270,0.4153
5,280,0.4981
5,290,0.4318
5,300,0.3508
5,310,0.2689
5,320,0.3129
5,330,0.3145
5,340,0.3178
5,350,0.2995
5,360,0.3012
5,370,0.2682
5,380,0.2210
5,390,0.2577
5,400,0.2489
5,410,0.3103
5,420,0.2938
5,430,0.2875
5,440,0.2495
5,450,0.3368
5,460,0.2812
5,470,0.2572
5,480,0.2542
5,490,0.2509
5,500,0.3052
5,510,0.2461
5,520,0.2509
5,530,0.2152
5,540,0.2551
5,550,0.2504
5,560,0.3199
5,570,0.3078
5,580,0.2501
5,590,0.2909
5,600,0.3446
5,610,0.2499
5,620,0.2598
5,630,0.3012
5,640,0.2761
5,650,0.3087
5,660,0.2481
5,670,0.2411
5,680,0.2501
5,690,0.2267
5,700,0.2590
5,710,0.2823
5,720,0.2460
5,730,0.3043
5,740,0.3261
5,750,0.2262
5,760,0.2881
5,770,0.2454
5,780,0.2827
5,790,0.2995
5,800,0.2060
5,810,0.3088
5,820,0.3265
5,830,0.3884
5,840,0.3103
5,850,0.2686
5,860,0.2516
5,870,0.2929
5,880,0.2828
5,890,0.2799
5,900,0.2613
5,910,0.2271
5,920,0.2351
5,930,0.2685
