epoch,batch,loss,time_per_10_steps
3,130,0.0703,1.1271
3,140,0.0914,1.1074
3,150,0.0898,1.1393
3,160,0.0753,1.1184
3,170,0.0796,1.0984
3,180,0.0855,1.1186
3,190,0.0843,1.1381
3,200,0.1142,1.1382
3,210,0.0684,1.1236
3,220,0.1002,1.1141
3,230,0.0935,1.0991
3,240,0.0808,1.1411
3,250,0.0806,1.0996
3,260,0.0757,1.0876
3,270,0.0787,1.0997
3,280,0.0769,1.0985
3,290,0.0607,1.1114
3,300,0.0746,1.1088
3,310,0.0995,1.1168
3,320,0.1105,1.1264
3,330,0.1661,1.1078
3,340,0.1009,1.1120
3,350,0.0981,1.1089
3,360,0.0756,1.1004
3,370,0.0996,1.1301
3,380,0.0707,1.1240
3,390,0.0690,1.1114
3,400,0.0953,1.1307
3,410,0.0748,1.1286
3,420,0.0668,1.1202
3,430,0.1073,1.1240
3,440,0.0684,1.0944
3,450,0.0916,1.0914
3,460,0.1183,1.0948
3,470,0.0766,1.0898
3,480,0.0579,1.1087
3,490,0.1576,1.1086
3,500,0.0631,1.1166
3,510,0.1111,1.1188
3,520,0.0719,1.1261
3,530,0.0955,1.1378
3,540,0.0967,1.1157
3,550,0.0935,1.1239
3,560,0.1014,1.1003
3,570,0.1045,1.1077
3,580,0.0800,1.1131
3,590,0.0693,1.1290
3,600,0.0561,1.1271
3,610,0.0830,1.1437
3,620,0.0924,1.1255
3,630,0.0679,1.1108
3,640,0.0791,1.1550
3,650,0.0848,1.1145
3,660,0.1092,1.1507
3,670,0.1170,1.1239
3,680,0.0718,1.1244
3,690,0.1016,1.1333
3,700,0.0802,1.1222
3,710,0.0906,1.1483
3,720,0.0770,1.1190
3,730,0.0971,1.1081
3,740,0.0822,1.1320
3,750,0.1389,1.1416
3,760,0.0749,1.1353
3,770,0.0729,1.1375
3,780,0.0900,1.1128
3,790,0.0712,1.1218
3,800,0.0839,1.1116
3,810,0.0551,1.0975
3,820,0.0926,1.1708
3,830,0.1012,1.1684
3,840,0.0742,1.1730
3,850,0.0926,1.1356
3,860,0.0646,1.0218
3,870,0.0851,1.0375
3,880,0.0722,1.0375
3,890,0.0907,1.0347
3,900,0.0655,1.0209
3,910,0.0712,1.0362
3,920,0.0823,1.0210
3,930,0.1232,1.0366
4,10,0.0664,1.1625
4,20,0.0692,1.1598
4,30,0.0712,1.1282
4,40,0.0676,1.1201
4,50,0.0656,1.1578
4,60,0.1068,1.1133
4,70,0.0861,1.1338
4,80,0.0641,1.1329
4,90,0.0358,1.1300
4,100,0.0551,1.1601
4,110,0.0685,1.1317
4,120,0.0602,1.1489
4,130,0.0789,1.1144
4,140,0.0622,1.1210
4,150,0.0805,1.1061
4,160,0.0506,1.1231
4,170,0.0752,1.1190
4,180,0.0479,1.1272
4,190,0.0946,1.1200
4,200,0.0745,1.1084
4,210,0.0649,1.1184
4,220,0.0762,1.1195
4,230,0.0940,1.1368
4,240,0.0625,1.1290
4,250,0.0900,1.1216
4,260,0.0663,1.1226
4,270,0.0393,1.1191
4,280,0.0689,1.1073
4,290,0.0486,1.1016
4,300,0.0619,1.1022
4,310,0.0897,1.1004
4,320,0.0871,1.1105
4,330,0.0449,1.1083
4,340,0.0552,1.1122
4,350,0.0490,1.1249
4,360,0.0545,1.1127
4,370,0.0673,1.0968
4,380,0.0562,1.1168
4,390,0.0708,1.0900
4,400,0.0515,1.1098
4,410,0.0640,1.1116
4,420,0.0616,1.1181
4,430,0.0950,1.1109
4,440,0.0674,1.1555
4,450,0.0648,1.1788
4,460,0.0730,1.1569
4,470,0.0429,1.1592
4,480,0.0559,1.1715
4,490,0.0665,1.1475
4,500,0.0607,1.1267
4,510,0.0786,1.1369
4,520,0.0699,1.1631
4,530,0.0487,1.1659
4,540,0.0555,1.1428
4,550,0.0618,1.1444
4,560,0.0650,1.1716
4,570,0.0541,1.1344
4,580,0.0680,1.1661
4,590,0.0793,1.1974
4,600,0.0719,1.1777
4,610,0.0617,1.1808
4,620,0.0357,1.1736
4,630,0.0558,1.1815
4,640,0.0606,1.1569
4,650,0.0727,1.1612
4,660,0.0811,1.1624
4,670,0.0666,1.1472
4,680,0.0588,1.1448
4,690,0.0665,1.1211
4,700,0.0571,1.1128
4,710,0.0818,1.1340
4,720,0.0608,1.1335
4,730,0.0598,1.1460
4,740,0.0594,1.1321
4,750,0.0364,1.1399
4,760,0.0714,1.1043
4,770,0.0714,1.1228
4,780,0.0680,1.1176
4,790,0.0546,1.1791
4,800,0.0712,1.1776
4,810,0.0631,1.1997
4,820,0.0776,1.2098
4,830,0.0529,1.2048
4,840,0.0657,1.1919
4,850,0.0710,1.2168
4,860,0.1015,1.1380
4,870,0.1135,1.1288
4,880,0.0444,1.1394
4,890,0.0777,1.1393
4,900,0.0815,1.0796
4,910,0.0673,1.0851
